,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
80,"Grossman, Emily N",Biology,93.08333333333333,3.5316666666666663,6.0,1025.0
81,"Zuniga, Elina I",Biology,77.35,3.48,2.0,149.0
82,"Shurin, Jonathan",Biology,88.05,3.17,2.0,176.0
83,"Butler, Shannon Rhey",Biology,98.1,3.69,2.0,76.0
84,"Kohn, Joshua R",Biology,87.9,3.39,1.0,75.0
85,"Petrie, Katherine Lynn",Biology,98.8,3.66,2.0,127.0
86,"Kryazhimskiy, Sergey A",Biology,95.85,3.38,2.0,23.0
87,"Barton, Andrew David",other,94.55,3.285,2.0,293.0
88,"Cleland, Elsa Eleanor",Biology,90.45,3.5700000000000003,2.0,174.0
89,"Mel, Stephanie",Biology,96.41999999999999,3.598,5.0,878.0
90,"Cooper, Andrew Michael",Biology,92.8,3.426666666666667,3.0,372.0
91,"Byrne, Kathryne",Biology,32.0,3.3049999999999997,2.0,196.0
92,"Burg, Michael",Biology,98.7,3.488571428571428,7.0,1845.0
93,"Rana, Brinda Kanti",Biology,75.26666666666667,3.0766666666666667,3.0,216.0
94,"Stockwell, Sarah R",Biology,94.02000000000001,3.304,5.0,1194.0
95,"Broccard Bell, Heather Chr",other,93.63333333333333,3.3166666666666664,3.0,193.0
96,"Lo, Stanley Malvin Ming-Hi",Biology,94.95,3.565,4.0,566.0
97,"Macagno, Eduardo R.",Biology,77.80000000000001,3.875,2.0,89.0
98,"Butler, Madeline",Biology,100.0,4.0,1.0,22.0
99,"Lykke-Andersen, Jens",Biology,94.3,3.29,1.0,272.0
100,"Pasquinelli, Amy",Biology,94.3,3.19,1.0,213.0
101,"Day, Christopher D",Biology,90.21666666666668,3.57,6.0,877.0
102,"Miller, Steven W.",Biology,91.2,3.4,2.0,65.0
103,"Tour, Ella",Biology,95.33333333333333,3.483333333333334,3.0,178.0
104,"Golden, Susan S.",other,87.55000000000001,3.255,2.0,206.0
105,"Gorman, Michael R.",other,87.39999999999999,3.1316666666666664,6.0,537.0
106,"Pirino, Giorgia",Biology,92.2,3.304,5.0,438.0
107,"Gustafson-Brown, Cindy",Biology,94.85,3.1762500000000005,8.0,631.0
108,"Hao, Nan",Biology,96.35,3.5,2.0,491.0
109,"Suel, Gurol Mehmet",Biology,89.4,3.63,1.0,95.0
110,"Grant, Barry J",Biology,98.675,3.7,4.0,90.0
111,"Mayfield, Stephen P.",Biology,97.2,3.52,2.0,171.0
112,"Golden, James W",Biology,100.0,4.0,1.0,22.0
113,"Bloodgood, Brenda Laurie",Biology,92.6,3.26,1.0,372.0
114,"Cooke, James Edward",Biology,97.3,3.4675,4.0,480.0
115,"Reyes Gonzalez, Catalina",Biology,95.06,3.086,5.0,654.0
116,"Fortes, P. A. George",Biology,68.40000000000002,3.455,6.0,615.0
117,"Armour, Jon Christopher",Biology,98.725,3.2225,4.0,356.0
118,"Spitzer, Nicholas",Biology,92.7,3.34,1.0,98.0
119,"Su, Chih-Ying",Biology,92.7,3.31,2.0,188.0
120,"Root, Cory Matthew",Biology,51.9,3.52,1.0,47.0
121,"Banghart, Matthew Ryan",Biology,85.35,3.5999999999999996,2.0,57.0
122,"Pekkurnaz Banghart, Gulcin",Biology,93.75,3.865,2.0,49.0
123,"Pfaff, Samuel",Biology,100.0,4.0,1.0,11.0
