,Instructor,Department,Stem,Upper Div,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled,Study Hrs/Week
291,"Kovacs, Andras Balint",Communication,False,True,61.0,3.34,2.0,86.0,4.64
292,"Whitworth-Smith, Andrew C",Communication,False,True,98.96666666666665,3.4949999999999997,6.0,268.0,4.286666666666666
293,"Kidman, Shawna F",Communication,False,True,98.5,3.6933333333333334,3.0,139.0,3.9033333333333338
294,"Iatarola, Briana Marie",Communication,False,True,93.75,3.745,2.0,51.0,6.7
295,"Dubee, Alex William",Communication,False,False,98.0,3.63,2.0,127.0,5.41
296,"Simmons, Candice G",Communication,False,True,91.65,4.0,2.0,44.0,2.915
297,"Hickman, Louise",Communication,False,True,100.0,3.7,2.0,32.0,5.18
298,"Fields, Gary",Communication,False,True,94.43333333333334,3.5199999999999996,3.0,101.0,5.863333333333333
299,"Cortes, Diego M",Communication,False,True,90.975,3.7675,4.0,165.0,4.234999999999999
300,"Anderson, Patrick W.",Communication,False,False,95.98,3.822,5.0,459.0,4.576
301,"Guarrasi, Ivana",Communication,False,True,98.76,3.746,5.0,162.0,4.728
302,"Alac, Morana",Communication,False,True,100.0,3.6199999999999997,3.0,106.0,5.156666666666666
303,"Hartouni, Valerie A",Communication,False,True,94.45,3.525,2.0,43.0,3.8100000000000005
304,"Sims, Christopher O",Communication,False,True,94.43333333333334,3.686666666666667,3.0,88.0,5.06
305,"Collins, Caroline Imani",Communication,False,True,100.0,3.83,1.0,26.0,4.17
306,"Gluzman, Ellen Yelena",Communication,False,True,100.0,3.545,2.0,26.0,6.68
307,"Dewey, Matthew D",Communication,False,True,100.0,3.0,1.0,17.0,6.9
308,"Walton, Jonathan Douglas",Communication,False,True,100.0,3.8,1.0,32.0,5.1
309,"McKenna, Denise",Communication,False,True,77.8,3.4,1.0,33.0,5.9
310,"Gates, Kelly",Communication,False,True,76.55,3.38,2.0,319.0,3.835
311,"Halm, Gavin Patrick",Communication,False,True,100.0,3.93,1.0,38.0,3.7
312,"Ahn, Patricia Jeehyun",Communication,False,True,100.0,3.88,2.0,46.0,4.765000000000001
313,"Simon Salazar, Harry Love",Communication,False,True,66.65,3.885,2.0,42.0,4.5
314,"Tanaka, Stefan A.",Communication,False,True,50.633333333333326,2.953333333333333,3.0,82.0,5.203333333333333
315,"Vasquez, Olga A.",Communication,False,True,68.425,3.8825,4.0,105.0,5.3125
316,"Lee, Nancy Stark",Communication,False,True,81.3,3.47,1.0,36.0,6.25
317,"Horwitz, Robert B",Communication,False,True,92.85,3.325,2.0,48.0,5.875
318,"Zilberg, Elana",Communication,False,True,53.55,3.2,2.0,37.0,5.21
319,"Dominguez Rubio, Fernando",Communication,False,True,94.1,3.47,1.0,22.0,5.03
320,"Serlin, David",Communication,False,True,74.6,3.2249999999999996,2.0,312.0,4.27
321,"Randolph, Edward Gordon",Communication,False,True,75.0,3.33,1.0,14.0,5.5
322,"Cordoba Azcarate, Matilde",Communication,False,True,91.9,3.615,2.0,41.0,4.43
323,"Conner, Thomas Hartnell",Communication,False,True,100.0,3.45,1.0,22.0,5.41
324,"Porter, Leonard Emerson",Computer Science,True,True,96.75,3.2924999999999995,4.0,866.0,10.88
325,"Sahoo, Debashis",Computer Science,True,True,74.1,3.27,1.0,129.0,11.29
326,"Ochoa, Benjamin Lawrence",Computer Science,True,True,84.76666666666667,3.33,3.0,433.0,10.956666666666665
327,"Freund, Yoav",Computer Science,True,True,49.1,3.26,1.0,144.0,6.84
328,"Jones, Miles E",Computer Science,True,False,88.02857142857144,3.235714285714286,7.0,1068.0,7.707142857142857
329,"Bellare, Mihir",Computer Science,True,True,74.85,2.615,2.0,101.0,7.975
330,"Ord, Richard",Computer Science,True,False,85.41666666666664,3.358333333333334,6.0,1171.0,13.459999999999999
331,"Weibel, Nadir",Computer Science,True,True,85.7,3.29,1.0,15.0,7.07
332,"Allos, Haytham Issa",Computer Science,True,False,83.2,3.27,2.0,243.0,11.785
333,"Zaitsev, Anna L",Computer Science,True,False,82.8,3.395,2.0,242.0,7.16
334,"Zhou, Yuan-Yuan",Computer Science,True,True,88.5,3.3449999999999998,2.0,213.0,9.875
335,"Snoeren, Alex C.",Computer Science,True,True,94.6,3.14,1.0,108.0,9.61
336,"Savage, Stefan",Computer Science,True,True,95.85,3.265,2.0,338.0,8.465
337,"Lerner, Sorin",Computer Science,True,True,99.4,3.59,1.0,174.0,7.81
338,"Jhala, Ranjit",Computer Science,True,True,98.4,3.505,2.0,236.0,8.58
339,"Vianu, Victor Dan",Computer Science,True,True,77.05,3.13,2.0,316.0,6.074999999999999
340,"Powell, Thomas Allan",Computer Science,True,True,89.85,3.17,4.0,369.0,9.935
341,"Chin, Bryan W.",Computer Science,True,True,86.2,3.19,1.0,134.0,7.1
342,"Swanson, Steven James",Computer Science,True,False,89.45,3.6725000000000003,4.0,168.0,5.449999999999999
343,"Alvarado, Christine J.",Computer Science,True,False,98.62,3.622,5.0,657.0,7.978
344,"Su, Hao",Computer Science,True,True,81.3,3.38,1.0,56.0,10.86
345,"McAuley, Julian John",Computer Science,True,True,82.3,3.36,1.0,357.0,9.47
346,"Schulze, Jurgen P.",Computer Science,True,True,97.43333333333334,3.89,3.0,172.0,11.003333333333332
347,"Paturi, Ramamohan",Computer Science,True,True,83.3,3.82,1.0,19.0,11.33
348,"Bandeira, Nuno Filipe Cabrita",Computer Science,True,True,100.0,3.25,1.0,15.0,6.0
349,"Cosman, Benjamin Leverett",Computer Science,True,False,87.1,3.29,1.0,74.0,7.92
350,"Cao, Yingjun",Computer Science,True,False,94.2909090909091,3.3145454545454545,11.0,1222.0,12.828181818181816
351,"Miranda, Gregory Joseph",Computer Science,True,False,94.75,3.5700000000000003,2.0,89.0,8.5
352,"Politz, Joseph Gibbs",Computer Science,True,False,96.37142857142855,3.567142857142857,7.0,867.0,7.544285714285713
353,"Fraenkel, Aaron Mcmillan",Computer Science,True,False,100.0,4.0,1.0,21.0,1.5
354,"Braun, Oliver",Computer Science,True,False,93.9,3.42,2.0,77.0,6.395
355,"Cyranka, Jacek",Computer Science,True,True,100.0,3.82,1.0,31.0,7.05
356,"Marx, Susan S",Computer Science,True,False,56.699999999999996,3.353333333333333,6.0,634.0,5.718333333333334
357,"Pasquale, Joseph",Computer Science,True,False,99.475,3.5975,4.0,383.0,6.3725
358,"Nguyen, Hau Cao",Computer Science,True,False,40.95,3.3075,4.0,764.0,10.1575
359,"Papadopoulos, Philip Micha",Computer Science,True,False,82.1,3.04,2.0,312.0,12.82
360,"Voelker, Geoffrey M.",Computer Science,True,True,98.45,3.7199999999999998,2.0,222.0,12.27
361,"Porter, George M",Computer Science,True,True,86.3,3.38,1.0,175.0,7.72
362,"Gantman, Alexander",Computer Science,True,True,80.0,3.0,1.0,45.0,8.7
363,"Polikarpova, Nadezhda",Computer Science,True,True,73.6,3.02,1.0,173.0,11.06
364,"Deutsch, Alin Bernard",Computer Science,True,True,59.1,3.33,1.0,61.0,6.59
365,"Cheng, Chung Kuan",Computer Science,True,True,81.85,3.585,2.0,320.0,7.005
366,"Chu, Isaac Y",Computer Science,True,True,76.46666666666667,3.633333333333333,3.0,596.0,6.273333333333333
367,"Orailoglu, Alex",Computer Science,True,True,43.5,2.96,1.0,35.0,13.98
368,"Tullsen, Dean Michael",Computer Science,True,True,100.0,3.67,1.0,9.0,13.83
369,"Saul, Lawrence",Computer Science,True,True,100.0,3.38,1.0,120.0,9.01
370,"Chaudhuri, Kamalika",Computer Science,True,True,96.1,3.44,1.0,181.0,7.79
371,"Altintas De Callaf, Ilkay",Computer Science,True,False,89.7,3.4333333333333336,3.0,417.0,4.026666666666666
372,"Ramamoorthi, Ravi",Computer Science,True,True,96.2,3.56,1.0,35.0,9.88
373,"Riek, Laurel D",Computer Science,True,True,100.0,4.0,1.0,24.0,5.17
374,"Gymrek, Melissa Ann",Computer Science,True,True,94.1,3.47,1.0,108.0,8.04
375,"Kumar, Arun Kumar",Computer Science,True,True,100.0,3.29,1.0,19.0,7.25
376,"Tiefenbruck, Janine LoBue",Computer Science,True,True,100.0,3.45,2.0,64.0,6.51
377,"Chandraker, Manmohan Krishna",Computer Science,True,True,33.3,3.5,1.0,35.0,8.72
378,"Barr, Iris",Computer Science,True,True,76.3,3.76,1.0,44.0,3.66
379,"Micciancio, Daniele",Computer Science,True,False,78.15,3.315,2.0,253.0,5.845
380,"Kahng, Andrew Byun",Computer Science,True,True,67.9,2.83,1.0,254.0,11.92
381,"Griswold, William G.",Computer Science,True,True,81.0,3.5,1.0,203.0,11.48
382,"Shacham, Hovav",Computer Science,True,True,95.7,3.0,1.0,55.0,12.67
383,"Stefan, Deian",Computer Science,True,True,82.5,2.99,1.0,132.0,9.09
384,"Rosing, Tajana Simunic",Computer Science,True,True,94.7,3.5,1.0,141.0,7.13
385,"Zhao, Jishen",Computer Science,True,True,80.4,3.31,1.0,123.0,6.83
386,"Kastner, Ryan Charles",Computer Science,True,True,100.0,3.75,1.0,17.0,9.0
387,"Gao, Sicun",Computer Science,True,True,96.3,3.56,1.0,185.0,8.88
388,"Rotenberg, Steven Paul",Computer Science,True,True,100.0,3.69,1.0,32.0,9.75
389,"Nakashole, Ndapandula",Computer Science,True,True,62.5,3.71,1.0,74.0,9.06
390,"Papakonstantinou, Yannis",Computer Science,True,False,100.0,4.0,1.0,11.0,0.9
391,"Strom, Megan C.",Dimensions of Culture,False,False,86.95,3.3225000000000002,4.0,1129.0,4.3225
392,"Johnston, Emily Ronay",Dimensions of Culture,False,False,95.9,3.29,1.0,127.0,4.43
393,"Pass, Natalye Joann",Dimensions of Culture,False,True,90.85714285714286,3.707142857142857,7.0,170.0,6.7542857142857144
394,"Sievenpiper, Daniel F.",Electrical & Computer Eng.,True,True,98.0,3.115,2.0,168.0,7.96
395,"Siegel, Paul H.",Electrical & Computer Eng.,True,True,95.1,3.17,1.0,127.0,7.89
396,"Hall, Drew A.",Electrical & Computer Eng.,True,False,95.3,3.536,5.0,504.0,8.634
397,"Ng, Tse Nga",Electrical & Computer Eng.,True,True,81.6,3.365,2.0,65.0,6.984999999999999
398,"Lomakin, Vitaliy",Electrical & Computer Eng.,True,True,86.73333333333333,3.3433333333333337,3.0,130.0,7.55
399,"Zeger, Kenneth A.",Electrical & Computer Eng.,True,True,88.95,3.02,2.0,168.0,6.305
400,"Koushanfar, Farinaz",Electrical & Computer Eng.,True,True,54.3,3.4,1.0,42.0,8.44
401,"Esmaili, Gholamreza",Electrical & Computer Eng.,True,True,94.05000000000001,3.29,4.0,164.0,8.475
402,"Kuzum, Duygu",Electrical & Computer Eng.,True,True,100.0,3.3733333333333335,3.0,81.0,7.086666666666666
403,"Unpingco, Jose H.",Electrical & Computer Eng.,True,True,85.63333333333333,3.73,3.0,303.0,6.716666666666666
404,"Phan, Alex Minh Giang",Electrical & Computer Eng.,True,True,100.0,3.4433333333333334,3.0,66.0,12.356666666666664
405,"Javidi, Tara",Electrical & Computer Eng.,True,True,86.03333333333335,3.0666666666666664,3.0,55.0,7.719999999999999
406,"Milstein, Laurence B.",Electrical & Computer Eng.,True,True,100.0,3.375,2.0,20.0,6.365
407,"Franceschetti, Massimo",Electrical & Computer Eng.,True,False,90.65,3.46,2.0,95.0,5.87
408,"Khoshabeh, Ramsin",Electrical & Computer Eng.,True,False,95.775,3.39,4.0,122.0,9.907499999999999
409,"Rao, Bhaskar D.",Electrical & Computer Eng.,True,True,90.0,2.63,1.0,66.0,8.8
410,"Rebeiz, Gabriel",Electrical & Computer Eng.,True,True,100.0,3.57,1.0,63.0,11.71
411,"Sworder, David D.",Electrical & Computer Eng.,True,True,86.9,3.38,2.0,143.0,7.725
412,"Pal, Piya",Electrical & Computer Eng.,True,True,44.0,2.32,1.0,95.0,12.02
413,"Abi Samra, Nicholas Camill",Electrical & Computer Eng.,True,True,95.11999999999999,3.8019999999999996,5.0,196.0,5.789999999999999
414,"Liu, Zhaowei",Electrical & Computer Eng.,True,False,96.9,3.3449999999999998,2.0,83.0,6.525
415,"Cosman, Pamela C.",Electrical & Computer Eng.,True,True,87.5,3.375,2.0,54.0,11.9
416,"Quest, Kevin B",Electrical & Computer Eng.,True,False,97.35,3.4,2.0,148.0,4.52
417,"Taur, Yuan",Electrical & Computer Eng.,True,False,75.55,3.45,2.0,147.0,7.2
418,"Schurgers, Curt",Electrical & Computer Eng.,True,False,94.4,2.86,1.0,146.0,10.59
419,"Lugannani, Robert",Electrical & Computer Eng.,True,False,82.26666666666667,3.5666666666666664,3.0,557.0,6.216666666666666
420,"Gilja, Vikash",Electrical & Computer Eng.,True,False,95.9,3.69,1.0,180.0,6.62
421,"Baghdadchi, Saharnaz",Electrical & Computer Eng.,True,False,91.24,3.246,5.0,449.0,7.8260000000000005
422,"Shevchenko, Valentin I",Electrical & Computer Eng.,True,False,76.65,3.035,2.0,60.0,11.6
423,"Morris, Karcher William",Electrical & Computer Eng.,True,False,100.0,3.9,1.0,50.0,6.29
424,"Touri, Behrouz",Electrical & Computer Eng.,True,True,86.9,3.18,1.0,146.0,7.7
425,"Lin, Bill",Electrical & Computer Eng.,True,True,97.925,3.7024999999999997,4.0,223.0,6.29
426,"Yip, Michael",Electrical & Computer Eng.,True,True,100.0,3.47,1.0,21.0,13.97
427,"Dayeh, Shadi Ahmad",Electrical & Computer Eng.,True,True,87.5,3.5,2.0,29.0,6.2
428,"Gessner, Richard K.",Electrical & Computer Eng.,True,True,96.42500000000001,3.4325,4.0,149.0,9.7075
429,"Zhang, Xinyu",Electrical & Computer Eng.,True,True,100.0,4.0,1.0,7.0,7.5
430,"Harris, Frederick Joel",Electrical & Computer Eng.,True,True,76.9,3.15,1.0,44.0,8.07
431,"Levy, Cooper Sinclair",Electrical & Computer Eng.,True,True,87.0,2.87,1.0,27.0,10.59
432,"Kreutz-Delgado, Kenneth",Electrical & Computer Eng.,True,True,100.0,3.75,1.0,29.0,6.5
433,"Ford, Joseph Earl",Electrical & Computer Eng.,True,False,96.95,3.395,2.0,119.0,7.46
434,"Das, Pankaj K",Electrical & Computer Eng.,True,True,66.7,3.8,1.0,35.0,14.5
435,"Tu, Charles",Electrical & Computer Eng.,True,True,50.0,3.8,1.0,35.0,14.5
436,"Mir Arabbaygi, Siavash",Electrical & Computer Eng.,True,False,91.8,3.31,1.0,142.0,8.42
437,"Radic, Stojan",Electrical & Computer Eng.,True,False,71.4,2.71,1.0,77.0,8.57
438,"Kante, Boubacar",Electrical & Computer Eng.,True,True,91.1,3.07,2.0,106.0,8.459999999999999
439,"Das, Nikhil Ranjan",Electrical & Computer Eng.,True,True,87.5,3.5,1.0,11.0,15.3
440,"Ling, Patrick L",Electrical & Computer Eng.,True,True,100.0,4.0,1.0,7.0,6.5
441,"Mercier, Patrick Philip",Electrical & Computer Eng.,True,True,100.0,3.14,1.0,20.0,11.36
442,"Trivedi, Mohan M.",Electrical & Computer Eng.,True,True,83.9,3.24,1.0,94.0,7.03
443,"Vasconcelos, Nuno",Electrical & Computer Eng.,True,True,76.7,3.07,1.0,105.0,10.0
444,"Mookherjea, Shayan",Electrical & Computer Eng.,True,True,83.3,2.83,1.0,19.0,12.17
445,"Fainman, Yeshaiahu",Electrical & Computer Eng.,True,True,100.0,3.17,1.0,11.0,12.17
446,"Dey, Sujit",Electrical & Computer Eng.,True,False,90.0,3.24,1.0,134.0,7.3
447,"Tocoian, Oana",Economics,True,False,78.85,3.26,2.0,495.0,4.85
448,"Nieto-Barthaburu, Augusto",Economics,True,False,84.4,3.575,4.0,563.0,5.13
449,"Famulari, Melissa",Economics,True,True,91.61666666666666,3.296666666666667,6.0,901.0,7.843333333333334
450,"Machina, Mark Joseph",Economics,True,True,100.0,4.0,2.0,24.0,2.17
451,"Sinitsyn, Maxim",Economics,True,True,86.19000000000001,3.2779999999999996,10.0,971.0,6.1659999999999995
452,"Andreoni, James",Economics,True,True,85.2,3.8833333333333333,3.0,62.0,2.4633333333333334
453,"Bloom, Patrick Roll",Economics,True,True,59.4,3.3,2.0,333.0,7.27
454,"Muendler, Marc",Economics,True,True,71.23333333333333,3.34,3.0,447.0,7.036666666666666
455,"Watson, Joel Christopher",Economics,True,True,90.95,3.185,2.0,233.0,6.88
456,"Candido, Maria Teresa",Economics,True,False,93.9875,3.4474999999999993,8.0,1284.0,6.00375
457,"Rondina, Giacomo",Economics,True,True,96.55,3.3683333333333327,6.0,214.0,6.566666666666666
458,"Lagakos, David P.",Economics,True,True,100.0,3.58,1.0,118.0,5.39
459,"Foster, Carroll Baldwin",Economics,True,True,73.51666666666667,3.3049999999999997,6.0,718.0,5.5633333333333335
460,"O, Mun Pyung",Economics,True,True,83.9,3.435,10.0,1087.0,6.910000000000001
461,"Beare, Brendan",Economics,True,True,100.0,3.57,1.0,17.0,7.93
462,"Tang, Yuan Emily",Economics,True,True,100.0,3.56,1.0,65.0,3.17
463,"Jacobsen, Mark",Economics,True,True,89.9,3.39,1.0,298.0,5.24
464,"Betts, Julian",Economics,True,True,96.1,3.43,1.0,101.0,5.23
465,"Newhouse, Herbert S",Economics,True,True,88.55555555555556,3.43,9.0,1239.0,5.821111111111111
466,"Ramey, Garey",Economics,True,True,82.89999999999999,3.5666666666666664,3.0,259.0,5.583333333333333
467,"Yu, Chu",Economics,True,False,95.15,3.7249999999999996,2.0,157.0,5.835
468,"Wuthrich, Kaspar",Economics,True,True,93.96666666666665,3.3233333333333337,3.0,391.0,6.096666666666667
469,"Blumkin, Tomer",Economics,True,True,95.0,3.2,2.0,47.0,6.279999999999999
470,"Ray, Kevin Daniel",Economics,True,True,100.0,3.43,1.0,75.0,5.26
471,"Squires, Dale E",Economics,True,True,97.7,3.49,2.0,341.0,5.15
472,"Santamaria, Martin I",Economics,True,False,92.89999999999999,3.5500000000000003,6.0,1125.0,5.993333333333333
473,"Hovander, Elisa Wynne Kirsten",Economics,True,False,81.8,3.335,2.0,90.0,4.59
474,"Noel, Michael",Economics,True,True,95.45,3.165,2.0,48.0,7.705
475,"Hilmer, Christiana",Economics,True,True,97.6,3.4400000000000004,2.0,83.0,6.13
476,"Hilmer, Michael",Economics,True,True,100.0,3.44,2.0,34.0,4.5
477,"Fairchild, Stephanie Kate",Economics,True,True,66.7,3.5,1.0,11.0,6.5
478,"Mateer, George Dirk",Economics,True,False,95.5,3.48,3.0,653.0,4.133333333333333
479,"Boomhower, Judson P",Economics,True,True,85.0,3.37,1.0,69.0,6.5
480,"Bowen, T. Renee",Economics,True,True,100.0,3.29,1.0,11.0,7.36
481,"Wieland, Johannes Friedrich",Economics,True,True,95.85,3.54,2.0,227.0,5.119999999999999
482,"Tayman, Jeff",Economics,True,True,86.7,3.19,1.0,50.0,6.13
483,"Antonovics, Kate L.",Economics,True,True,95.25,3.415,2.0,337.0,5.035
484,"Naughton, Barry J",Economics,True,True,84.0,3.38,1.0,166.0,5.28
485,"Suong, Clara Haeseung",Economics,True,False,100.0,4.0,1.0,6.0,5.0
486,"Vanvuren, Mitchell Scott",Economics,True,False,100.0,3.33,1.0,4.0,4.0
487,"Somers, Jackson Chandler",Economics,True,False,100.0,3.86,1.0,9.0,5.75
488,"Rauch, James E",Economics,True,True,77.94999999999999,3.245,2.0,226.0,4.71
489,"Trevino, Isabel",Economics,True,True,100.0,4.0,1.0,6.0,2.5
490,"Porzio, Tommaso",Economics,True,True,86.26666666666667,3.5533333333333332,3.0,320.0,4.783333333333334
491,"Hamilton, James D.",Economics,True,True,92.4,3.38,2.0,243.0,7.175
492,"Dahl, Gordon B.",Economics,True,True,83.96666666666667,3.48,3.0,367.0,4.906666666666666
493,"Carson, Richard T",Economics,True,True,78.9,3.36,1.0,125.0,5.31
494,"Cohen, Darrel Steven",Economics,True,True,95.7,3.23,1.0,138.0,6.23
495,"Fadlon, Yizhak",Economics,True,True,100.0,3.46,1.0,41.0,4.33
496,"Muralidharan, Karthik",Economics,True,True,100.0,3.58,1.0,74.0,4.89
497,"Cullen, Julie",Economics,True,True,100.0,4.0,1.0,10.0,6.5
498,"Ramey, Valerie A",Economics,True,False,78.5,3.42,2.0,422.0,5.71
499,"Dean, Dallawrence Edward",Education Studies,False,False,93.04285714285713,3.757142857142857,7.0,579.0,3.3299999999999996
500,"Simon, Elizabeth A",Education Studies,False,False,99.0,3.8939999999999997,5.0,177.0,4.41
501,"Allen, Bobbie M",Education Studies,False,True,97.9,3.98,1.0,55.0,4.96
502,"Millstone, Rachel Diana",Education Studies,False,True,100.0,3.86,1.0,48.0,6.05
503,"Holtzman, Caren Lynn",Education Studies,False,True,100.0,3.815,2.0,89.0,5.72
504,"Wishard Guerra, Alison G.",Education Studies,False,True,94.7,3.81,1.0,43.0,8.61
505,"Drake, Kristy Nicole",Education Studies,False,True,97.9,3.7350000000000003,2.0,79.0,5.96
506,"Hofstetter, Carolyn",Education Studies,False,False,98.30000000000001,3.9575,8.0,218.0,2.4587499999999998
507,"Heinzman, Erica M.",Education Studies,False,False,100.0,3.893333333333333,3.0,84.0,3.6533333333333338
508,"Cohen, Shana R",Education Studies,False,True,87.85,3.77,2.0,76.0,4.46
509,"Lockton, Marie",Education Studies,False,True,100.0,3.94,1.0,47.0,3.32
510,"Hopkins, Megan Beth",Education Studies,False,True,100.0,3.88,1.0,59.0,4.07
511,"Pappas, Elizabeth",Education Studies,False,True,93.3,4.0,1.0,27.0,5.43
512,"Scharton, Susan Michelle",Education Studies,False,True,100.0,3.9,1.0,48.0,6.5
513,"Whiteside, Linda Sue",Education Studies,False,True,100.0,3.875,2.0,33.0,3.875
514,"Mamas, Christoforos",Education Studies,False,True,100.0,4.0,1.0,7.0,5.17
515,"Chapman, Thandeka K",Education Studies,False,True,100.0,3.82,1.0,53.0,3.25
516,"Contreras, Frances E.",Education Studies,False,True,95.5,3.7,1.0,38.0,3.83
517,"Orozco, Agustin",Education Studies,False,True,100.0,4.0,1.0,24.0,4.25
518,"Forbes, Cheryl A",Education Studies,False,True,94.4,3.94,1.0,41.0,5.06
519,"Bresser, Bernard George",Education Studies,False,True,100.0,3.91,1.0,25.0,5.41
520,"Black, Alison Michelle",Education Studies,False,True,100.0,4.0,1.0,52.0,5.45
521,"Lu, Charles",Education Studies,False,False,91.6,3.25,2.0,83.0,1.55
522,"Henter, Heather J.",Environmental Studies,True,True,91.65,3.515,2.0,44.0,3.755
523,"Shaheen, Robina",Environmental Studies,True,False,40.9,3.42,1.0,142.0,3.74
524,"Talley, Theresa S.",Environmental Studies,True,True,100.0,3.67,1.0,18.0,4.0
525,"Ochoa, Edward Henry",Environmental Studies,True,True,94.4,3.23,1.0,63.0,5.94
526,"Russell, Lynn M.",Environmental Systems,True,True,88.6,3.31,1.0,113.0,4.68
527,"Espiritu, Yen",Ethnic Studies,False,False,87.55000000000001,3.3899999999999997,2.0,406.0,4.529999999999999
528,"Kharputly, Nadeen Sh B",Ethnic Studies,False,True,100.0,3.7483333333333335,6.0,130.0,3.883333333333333
529,"Patel, Shaista",Ethnic Studies,False,True,100.0,3.6,1.0,14.0,4.5
530,"Daly, Heather Marie",Ethnic Studies,False,True,75.0,3.67,1.0,28.0,3.58
531,"Kozen, Cathleen Kiyomi",Ethnic Studies,False,False,55.0,3.53,1.0,56.0,4.2
532,"Garcia Hernandez, Yessica",Ethnic Studies,False,True,100.0,3.83,1.0,23.0,6.83
533,"Quintanilla, Leslie Jocelyn",Ethnic Studies,False,True,94.7,3.56,1.0,31.0,6.18
534,"Padilla, Omar",Ethnic Studies,False,True,100.0,3.76,1.0,28.0,4.42
535,"Marez, Curtis F.",Ethnic Studies,False,True,83.35,3.755,2.0,93.0,3.25
536,"De Leon, Justin",Ethnic Studies,False,True,99.05,3.82,4.0,178.0,4.262499999999999
537,"Alomar, Maisam",Ethnic Studies,False,True,100.0,3.29,1.0,13.0,6.5
538,"Streeby, Shelley",Ethnic Studies,False,True,63.6,3.89,1.0,35.0,4.0
539,"Reese, Clarissa Jane",Human Development Program,False,False,86.0,3.225,6.0,299.0,8.33
540,"Ark, Wendy S",Human Development Program,False,True,61.2,2.82,5.0,147.0,10.038
541,"Prestholdt, Jeremy",History,False,True,99.26666666666667,3.5966666666666662,3.0,270.0,3.8066666666666666
542,"Lu, Weijing",History,False,True,75.0,3.18,1.0,63.0,5.67
543,"Henry, Todd A.",History,False,True,91.4,3.13,1.0,54.0,6.04
544,"Mylonakis, Leonidas",History,False,True,92.3,3.3,1.0,74.0,4.99
545,"Edelman, Robert S.",History,False,True,73.6,3.515,2.0,139.0,3.75
546,"Stout, James E",History,False,True,83.3,3.27,1.0,24.0,4.67
547,"Devereux, Andrew W",History,False,True,95.2,3.43,1.0,31.0,6.68
548,"Petkas, Alexander J",History,False,True,85.7,3.38,1.0,17.0,5.75
549,"Morales Fontanilla, Manuel Antonio",History,False,True,98.03333333333335,3.6733333333333333,3.0,123.0,4.136666666666668
550,"Cowan, Benjamin A",History,False,False,97.625,3.4225,4.0,127.0,5.8725
551,"Schneewind, Sarah",History,False,False,73.8,2.94,1.0,168.0,6.67
552,"Wishon, Mark T",History,False,False,96.5,3.32,1.0,181.0,3.79
553,"Kayali, Hasan",History,False,True,96.95,3.42,2.0,133.0,4.630000000000001
554,"Provence, Michael",History,False,True,100.0,3.5,1.0,58.0,4.4
555,"Gere, Catherina M.",History,False,True,98.75,3.645,2.0,159.0,4.025
556,"Hendrickson, Gerald M.",History,False,False,98.33333333333333,3.52,3.0,227.0,4.986666666666666
557,"Vandevelde, Kenneth Joseph",History,False,True,100.0,3.75,1.0,41.0,4.75
558,"Dunai, Suzanne Elizabeth",History,False,True,100.0,3.9,1.0,16.0,4.68
559,"Silverman, Reuben William",History,False,True,75.0,3.33,1.0,16.0,7.0
560,"Man, Simeon S",History,False,False,97.3,3.533333333333333,3.0,366.0,5.59
561,"Jiao, Yupeng",History,False,True,90.0,3.5,1.0,19.0,6.9
562,"Merrill O'Keefe, Amy Roxanne",History,False,False,76.2,3.236666666666667,3.0,286.0,7.06
563,"Hall, Matthew Aaron",History,False,True,100.0,3.33,1.0,22.0,6.5
564,"Kokinis, Troy Andreas",History,False,True,80.0,3.0,1.0,15.0,8.1
565,"Mack, Graeme",History,False,False,100.0,3.5,1.0,25.0,4.23
566,"Hineline, Mark Lawrence",History,False,True,100.0,3.89,1.0,20.0,3.33
567,"Molina, Natalia",History,False,True,88.2,3.53,1.0,26.0,8.15
568,"Braden, Peter Watson",History,False,True,86.7,3.15,1.0,35.0,6.1
569,"Demetriou, Denise",History,False,True,93.2,3.48,2.0,105.0,6.045
570,"Strasser, Ulrike",History,False,True,100.0,3.815,2.0,44.0,4.92
571,"Hunefeldt, Christine",History,False,True,71.9,3.35,2.0,58.0,3.31
572,"Gutierrez, David G",History,False,False,60.8,3.29,1.0,299.0,3.27
573,"Peterson, Johanna Lee",History,False,True,81.3,3.73,1.0,36.0,6.36
574,"Gheissari, Ali",History,False,True,100.0,3.6,1.0,32.0,3.33
575,"Westman, Robert S",History,False,True,78.0,3.315,2.0,81.0,4.359999999999999
576,"Edington, Claire Ellen",History,False,False,92.625,3.6475,4.0,188.0,4.305
577,"Hanna, Mark G.",History,False,True,98.7,3.795,2.0,149.0,4.98
578,"Klein, Rachel",History,False,False,94.86666666666667,3.533333333333333,3.0,251.0,4.64
579,"Alvarez, Luis A",History,False,True,83.3,4.0,1.0,34.0,7.07
580,"Pickowicz, Paul G.",History,False,True,96.4,3.77,1.0,51.0,5.33
581,"Kim, Hyung-Wook",History,False,True,92.9,3.44,1.0,72.0,3.67
582,"Klann, Mary Cameron",History,False,True,100.0,3.51,1.0,65.0,4.64
583,"Plant, Rebecca Jo",History,False,True,100.0,3.69,1.0,52.0,4.56
584,"Lyon, Antony J.",Humanitites,False,False,97.00000000000001,2.9825,4.0,924.0,7.260000000000001
