,Instructor,Department,Stem,Upper Div,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled,Study Hrs/Week
65,"Mohan, Swarna",Biology,True,False,90.65714285714284,3.400000000000001,7.0,365.0,6.341428571428572
66,"Soowal, Lara",Biology,True,True,96.3,3.1799999999999997,3.0,98.0,5.6433333333333335
67,"Coleman, Aaron B.",Biology,True,True,95.4,3.338,5.0,1120.0,6.05
68,"Bozinovic, Goran",Biology,True,True,88.27142857142859,3.1457142857142855,7.0,831.0,7.071428571428572
69,"Hui, Enfu",Biology,True,True,100.0,3.66,2.0,73.0,3.475
70,"Reuther, Keefe",Biology,True,False,96.77499999999999,3.4687500000000004,8.0,1530.0,5.0024999999999995
71,"Kiger, Amy",Biology,True,True,71.9,3.09,1.0,39.0,7.38
72,"Grossman, Emily N",Biology,True,True,93.08333333333333,3.5316666666666663,6.0,1025.0,5.739999999999999
73,"Zuniga, Elina I",Biology,True,True,77.35,3.48,2.0,149.0,7.2
74,"Shurin, Jonathan",Biology,True,True,88.05,3.17,2.0,176.0,5.25
75,"Butler, Shannon Rhey",Biology,True,True,98.1,3.69,2.0,76.0,3.2649999999999997
76,"Kohn, Joshua R",Biology,True,True,87.9,3.39,1.0,75.0,4.26
77,"Petrie, Katherine Lynn",Biology,True,True,98.8,3.66,2.0,127.0,4.38
78,"Kryazhimskiy, Sergey A",Biology,True,True,95.85,3.38,2.0,23.0,6.54
79,"Cleland, Elsa Eleanor",Biology,True,True,90.45,3.5700000000000003,2.0,174.0,5.725
80,"Mel, Stephanie",Biology,True,False,96.41999999999999,3.598,5.0,878.0,3.444
81,"Cooper, Andrew Michael",Biology,True,False,92.8,3.426666666666667,3.0,372.0,6.963333333333334
82,"Byrne, Kathryne",Biology,True,False,32.0,3.3049999999999997,2.0,196.0,6.74
83,"Burg, Michael",Biology,True,False,98.7,3.488571428571428,7.0,1845.0,5.462857142857144
84,"Rana, Brinda Kanti",Biology,True,False,75.26666666666667,3.0766666666666667,3.0,216.0,5.326666666666667
85,"Stockwell, Sarah R",Biology,True,False,94.02000000000001,3.304,5.0,1194.0,5.56
86,"Lo, Stanley Malvin Ming-Hi",Biology,True,False,94.95,3.565,4.0,566.0,3.5075000000000003
87,"Macagno, Eduardo R.",Biology,True,False,77.80000000000001,3.875,2.0,89.0,3.145
88,"Butler, Madeline",Biology,True,False,100.0,4.0,1.0,22.0,0.6
89,"Lykke-Andersen, Jens",Biology,True,True,94.3,3.29,1.0,272.0,6.77
90,"Pasquinelli, Amy",Biology,True,True,94.3,3.19,1.0,213.0,6.83
91,"Day, Christopher D",Biology,True,True,90.21666666666668,3.57,6.0,877.0,5.656666666666666
92,"Miller, Steven W.",Biology,True,True,91.2,3.4,2.0,65.0,6.15
93,"Tour, Ella",Biology,True,True,95.33333333333333,3.483333333333334,3.0,178.0,6.760000000000001
94,"Pirino, Giorgia",Biology,True,True,92.2,3.304,5.0,438.0,7.382
95,"Gustafson-Brown, Cindy",Biology,True,False,94.85,3.1762500000000005,8.0,631.0,9.5575
96,"Hao, Nan",Biology,True,True,96.35,3.5,2.0,491.0,5.57
97,"Suel, Gurol Mehmet",Biology,True,True,89.4,3.63,1.0,95.0,4.47
98,"Grant, Barry J",Biology,True,True,98.675,3.7,4.0,90.0,4.275
99,"Mayfield, Stephen P.",Biology,True,True,97.2,3.52,2.0,171.0,3.61
100,"Golden, James W",Biology,True,True,100.0,4.0,1.0,22.0,2.0
101,"Bloodgood, Brenda Laurie",Biology,True,True,92.6,3.26,1.0,372.0,8.26
102,"Cooke, James Edward",Biology,True,True,97.3,3.4675,4.0,480.0,5.734999999999999
103,"Reyes Gonzalez, Catalina",Biology,True,True,95.06,3.086,5.0,654.0,11.736
104,"Fortes, P. A. George",Biology,True,True,68.40000000000002,3.455,6.0,615.0,7.328333333333333
105,"Armour, Jon Christopher",Biology,True,True,98.725,3.2225,4.0,356.0,12.3725
106,"Spitzer, Nicholas",Biology,True,True,92.7,3.34,1.0,98.0,6.93
107,"Su, Chih-Ying",Biology,True,False,92.7,3.31,2.0,188.0,6.65
108,"Root, Cory Matthew",Biology,True,True,51.9,3.52,1.0,47.0,4.64
109,"Banghart, Matthew Ryan",Biology,True,True,85.35,3.5999999999999996,2.0,57.0,6.25
110,"Pekkurnaz Banghart, Gulcin",Biology,True,False,93.75,3.865,2.0,49.0,4.125
111,"Pfaff, Samuel",Biology,True,True,100.0,4.0,1.0,11.0,3.7
112,"Yelon, Deborah",Biology,True,True,100.0,3.73,2.0,75.0,4.3
113,"Wertheim, Joel Okrent",Biology,True,True,100.0,3.9,1.0,30.0,1.9
114,"Cook, Orna",Biology,True,True,87.5,3.65,1.0,54.0,7.63
115,"Doblas Ibanez, Paula Adela",Biology,True,True,100.0,3.06,1.0,34.0,9.44
116,"Painter, Chelsea Danielle",Biology,True,True,98.0,3.33,1.0,72.0,7.36
117,"Wills, Christopher",Biology,True,True,88.9,2.82,1.0,43.0,5.83
118,"Chu, Monica W",Biology,True,False,97.2,3.475,6.0,628.0,6.0
119,"Vijapurkar, Ulka",Biology,True,False,93.95,3.3499999999999996,2.0,234.0,7.365
120,"Mudla, Anusorn",Biology,True,True,100.0,3.52,1.0,84.0,6.81
121,"Ryan, Genevieve Elaine",Biology,True,True,82.6,3.27,1.0,58.0,5.98
122,"Rusert, Jessica Marie",Biology,True,True,81.1,3.44,1.0,41.0,8.5
123,"Rizk, Maryan Girgis Soliman",Biology,True,True,83.3,3.35,1.0,41.0,8.92
124,"Davis, Amanda Gabrielle",Biology,True,False,92.9,3.39,1.0,62.0,7.61
125,"Waterton, Joseph Sebastian",Biology,True,False,91.7,3.3,1.0,72.0,5.58
126,"Feng, Gen-Sheng",Biology,True,True,69.8,3.36,1.0,113.0,8.69
127,"Troemel, Emily Ruth",Biology,True,True,86.9,3.61,1.0,272.0,4.44
128,"Forbes, Douglass Jane",Biology,True,True,85.0,3.49,1.0,323.0,6.66
129,"Lim, Byungkook",Biology,True,True,71.4,3.14,1.0,43.0,7.79
130,"Cooper, Kimberly Lynn",Biology,True,False,94.05000000000001,3.13,2.0,350.0,5.985
131,"Traver, David",Biology,True,True,95.9,3.24,1.0,65.0,6.74
132,"Lu, Li-Fan",Biology,True,True,91.7,3.13,1.0,166.0,8.85
133,"Desai, Arshad",Biology,True,True,100.0,3.88,1.0,20.0,3.25
134,"Oegema, Karen",Biology,True,True,100.0,3.89,1.0,20.0,3.39
135,"Goldrath, Ananda",Biology,True,True,100.0,3.93,1.0,27.0,2.21
136,"Roy, Kaustuv",Biology,True,True,96.8,3.51,2.0,120.0,5.02
137,"Chao, Lin",Biology,True,True,95.65,3.3499999999999996,2.0,194.0,4.83
138,"Rifkin, Scott",Biology,True,True,100.0,3.55,1.0,25.0,5.95
139,"Meyer, Justin Raymond",Biology,True,True,92.3,3.46,1.0,278.0,5.58
140,"Patrick, Gentry",Biology,True,False,72.4,3.08,1.0,243.0,5.85
141,"Strause, Linda G.",Biology,True,False,95.9,3.58,1.0,403.0,3.24
142,"Kurle, Carolyn M.",Biology,True,False,97.25,3.435,2.0,587.0,4.0649999999999995
143,"Pruneda-Paz, Jose L.",Biology,True,True,99.3,3.685,2.0,346.0,4.92
144,"Herndon, Jenny Dyann",Biology,True,True,92.7,3.546666666666667,3.0,331.0,6.3
145,"Niwa, Maho",Biology,True,True,93.5,3.45,1.0,182.0,5.66
146,"Sejnowski, Terrence J",Biology,True,True,83.3,3.0,1.0,41.0,4.83
147,"Halpain, Shelley",Biology,True,True,87.6,3.65,1.0,391.0,4.88
148,"Malinow, Roberto",Biology,True,True,90.0,3.6,1.0,13.0,3.3
149,"French, Kathleen Ann",Biology,True,True,92.3,3.77,1.0,20.0,2.04
150,"Estelle, Mark",Biology,True,True,94.1,4.0,1.0,32.0,1.56
151,"Heinrich, Erica C",Biology,True,True,100.0,4.0,1.0,78.0,1.34
